file,component_name,line_number
"src/components/checkbox/CheckboxTooltip.tsx","CheckboxTooltip",21
"src/components/date-picker/DatePicker.tsx","TOGGLE_DELAY_MS",766
"src/components/draft-js-editor/DraftJSEditor.js","OptionalFormattedMessage",129
"src/components/footer-indicator/FooterIndicator.tsx","FooterIndicator",14
"src/components/guide-tooltip/GuideTooltip.tsx","GuideTooltip",42
"src/components/image-tooltip/ImageTooltip.tsx","ImageTooltip",11
"src/components/image-tooltip/ImageTooltip.tsx","ImageTooltip",39
"src/components/label/InfoIconWithTooltip.tsx","InfoIconWithTooltip",17
"src/components/label/StandardLabel.tsx","StandardLabel",21
"src/components/pill-selector-dropdown/PillSelector.js","PillSelector",234
"src/components/pill-selector-dropdown/SuggestedPill.js","SuggestedPill",41
"src/components/select-button/SelectButton.js","SelectButton",32
"src/components/select/Select.js","Select",56
"src/components/select/Select.js","Select",66
"src/components/sidebar-toggle-button/SidebarToggleButton.js","DIRECTION_LEFT",51
"src/components/text-area/TextArea.js","TextArea",70
"src/components/text-input/TextInput.js","TextInput",85
"src/components/thumbnail-card/ThumbnailCardDetails.js","Title",25
"src/elements/common/Tooltip.js","Tooltip",25
"src/elements/content-open-with/MultipleIntegrationsOpenWithButton.js","MultipleIntegrationsOpenWithButton",22
"src/elements/content-open-with/OpenWithButton.js","OpenWithButton",69
"src/elements/content-picker/Footer.tsx","Footer",87
"src/elements/content-picker/Footer.tsx","Footer",92
"src/elements/content-sidebar/activity-feed/common/activity-timestamp/ActivityTimestamp.js","ActivityTimestamp",14
"src/elements/content-sidebar/activity-feed/task-new/TaskCompletionRuleIcon.js","TaskCompletionRuleIcon",21
"src/elements/content-sidebar/activity-feed/task-new/TaskMultiFileIcon.js","TaskMultiFileIcon",17
"src/elements/content-sidebar/additional-tabs/AdditionalTabTooltip.js","AdditionalTabTooltip",23
"src/elements/content-sidebar/SidebarNavButton.js","SidebarNavButton",54
"src/elements/content-sidebar/SidebarNavSignButton.tsx","SidebarNavSignButton",56
"src/elements/content-sidebar/skills/faces/Faces.js","Faces",163
"src/elements/content-sidebar/skills/keywords/Keywords.js","Keywords",183
"src/elements/content-sidebar/skills/transcript/Transcript.js","Transcript",300
"src/elements/content-sidebar/skills/transcript/Transcript.js","Transcript",312
"src/elements/content-sidebar/skills/transcript/Transcript.js","Transcript",328
"src/elements/content-sidebar/versions/VersionsItemActions.js","VersionsItemActions",119
"src/features/advanced-content-insights/AdvancedContentInsightsToggle.tsx","AdvancedContentInsightsToggle",37
"src/features/beta-feedback/BetaFeedbackBadge.js","BetaFeedbackBadge",24
"src/features/classification/ClassifiedBadge.js","ICON_SIZE",34
"src/features/classification/security-controls/SecurityControlsItem.js","ICON_SIZE",22
"src/features/collaborator-avatars/CollaboratorAvatarItem.js","CollaboratorAvatarItem",56
"src/features/collaborator-avatars/CollaboratorListItem.js","CollaboratorListItem",91
"src/features/collapsible-sidebar/CollapsibleSidebarItem.js","CollapsibleSidebarItem",52
"src/features/collapsible-sidebar/CollapsibleSidebarMenuItem.js","StyledMenuItem",198
"src/features/content-explorer/content-explorer/ContentExplorerIncludeSubfolders.js","ContentExplorerIncludeSubfolders",14
"src/features/content-explorer/content-explorer/ContentExplorerSelectAll.js","ContentExplorerSelectAll",30
"src/features/left-sidebar/LeftSidebarLink.js","LeftSidebarLink",115
"src/features/metadata-based-view/IconWithTooltip.js","IconWithTooltip",61
"src/features/metadata-instance-editor/CustomInstanceNewField.js","CustomInstanceNewField",103
"src/features/metadata-instance-editor/Instance.js","Instance",596
"src/features/pagination/PaginationControls.js","PAGE_ICON_STYLE",51
"src/features/pagination/PaginationControls.js","PAGE_ICON_STYLE",56
"src/features/presence/PresenceAvatarList.tsx","PresenceAvatarList",71
"src/features/query-bar/components/filter/Condition.js","Condition",296
"src/features/sandbox-banner/SandboxBanner.tsx","SandboxBanner",13
"src/features/security-cloud-game/SecurityCloudGame.js","CLOUD_SIZE_RATIO",208
"src/features/share/ShareMenu.js","OWNER_COOWNER_ONLY",75
"src/features/shared-link-modal/SharedLink.js","SharedLink",76
"src/features/shared-link-settings-modal/AllowDownloadSection.js","AllowDownloadSection",66
"src/features/unified-share-modal/ContactRestrictionNotice.js","SINGLE_CONTACT",138
"src/features/unified-share-modal/EmailForm.js","EmailForm",420
"src/features/unified-share-modal/EmailForm.js","EmailForm",448
"src/features/unified-share-modal/InviteePermissionsMenu.js","InviteePermissionsMenu",109
"src/features/unified-share-modal/SharedLinkAccessMenu.js","SharedLinkAccessMenu",85
"src/features/unified-share-modal/SharedLinkAccessMenu.js","SharedLinkAccessMenu",124
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",303
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",326
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",391
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",445
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",486
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",526
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",540
"src/features/unified-share-modal/SharedLinkSection.js","SharedLinkSection",552
"src/features/unified-share-modal/UnifiedShareForm.js","SHARED_LINKS_COMMUNITY_URL",496
